SMILES,pIC50,FP
C#CCn1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21,8.43,[0 0 0 ... 0 0 0]
C#Cc1cc(C(=O)/N=c2\[nH]c3ccccc3n2[C@H]2CC[C@@H](O)CC2)cc(-c2cnn(C)c2)n1,6.795,[0 0 0 ... 0 1 0]
C#Cc1cc(C=O)cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,6.96,[0 0 0 ... 0 0 0]
C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F,8.4,[0 0 0 ... 0 0 0]
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1F,7.54,[0 0 0 ... 0 0 0]
C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)cc(OC(=O)C=C)c1,5.88,[0 0 0 ... 0 0 0]
C#Cc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2s1,7.15,[0 0 0 ... 0 0 0]
C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,6.9,[0 0 0 ... 0 0 0]
C#Cc1cccc(-n2ccc3cc(OC)cc(O)c3c2=O)c1,5.51,[0 0 0 ... 0 0 0]
C#Cc1cccc(-n2ccc3cc(OC)cc(OC)c3c2=O)c1,5.46,[0 0 0 ... 0 0 0]
C#Cc1cccc(N2C(=O)Nc3c(C(=O)Nc4ccc(CN5CCCC5)cc4)sc4ncnc2c34)c1,7.58,[0 0 0 ... 0 0 0]
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)c(OC)cc2O)c1,5.95,[0 0 0 ... 0 0 0]
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2O)c1,5.48,[0 0 0 ... 0 0 0]
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2OC)c1,5.29,[0 0 0 ... 0 0 0]
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCCC(=O)NO)ccc2O)c1,5.65,[0 0 0 ... 0 0 0]
C#Cc1cccc(NC(=O)c2cc(OCCCCCCC(=O)NO)ccc2O)c1,6.05,[0 0 0 ... 0 0 0]
C#Cc1cccc(NC(=O)c2cccc(NC(=O)CCCCCC(=O)NO)c2)c1,5.21,[0 0 0 ... 0 0 0]
C#Cc1cccc(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)c1,7.21,[0 0 0 ... 0 0 0]
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,6.07,[0 0 0 ... 0 0 0]
C#Cc1cccc(Nc2cccc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,8.62,[0 0 0 ... 0 0 0]
C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,7.55,[0 0 0 ... 0 0 0]
C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,6.994999999999999,[0 0 0 ... 0 0 0]
C#Cc1cccc(Nc2nc(C)nc3oc(C)cc23)c1,7.52,[0 0 0 ... 0 0 0]
C#Cc1cccc(Nc2nc(N)nc3[nH]c(CCc4ccccn4)cc23)c1,4.7,[0 0 0 ... 0 0 0]
C#Cc1cccc(Nc2nc(N)nc3[nH]c(Cc4ccc(Cl)cc4Cl)cc23)c1,4.26,[0 0 0 ... 0 0 0]
C#Cc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C(C)C)c1,8.52,[0 1 0 ... 0 0 0]
